제목,태그,조회수,영상길이,날짜, 댓글수 , 좋아요수 
이 FPS에는 내구도가 무한인 방패가 있습니다. (콜옵),콜옵/콜 오브 듀티/모던워페어/FPS/ 콜옵/콜 오브 듀티 방패/방패/방패병,40400,10:46,2019-11-20,137,905
레식에 12배율 저격총이 나왔네? ㅁㅊ,레식/레식 시프팅 타이드/시프팅 타이드/레인보우식스 시즈/레식 칼리/레인보우식스 시즈 칼리/ 레식/ r6s/r6s,86782,10:02,2019-11-19,277,"1,400"
오버워치2 체험판 워크샵 배포됐습니다.,오버워치/overwatch/오버워치 워크샵/ 오버워치/오버워치 워크샵/오버워치2/overwatch2,137964,11:17,2019-11-18,201,"1,700"
눈 마주치고 죽기까지 단 3초 (거석신앙 말파이트),롤/리그오브 레전드/ 말파이트/말파이트/거석신앙,34580,5:32,2019-11-15,112,780
내 칼날은 총알보다 빠르다. 저격수를 베는 암흑지존검,콜 오브 듀티/모던워페어/모던워페어 똥쟁이/콜옵 콜옵,49087,6:02,2019-11-14,172,"1,000"
챕터1을 지구에서 3000명도 못 깬 게임 (GTFO),합방/GTFO/어려운 게임/종합게임/조디악/양아지/페뇨/치킨쿤/금사향,216443,18:17,2019-11-13,428,"2,400"
간단한 줄 알았던 워크샵.. 알고보니 엄청난 지능게임 ㅋㅋ,워크샵/오버워치/오버워치 워크샵/눈굴리기/오버워치 눈굴리기/오버워치 눈/오버워치  워크샵/ 오버워치/overwatch,47790,9:01,2019-11-12,136,"1,000"
19살 여고생의 닉네임 상태가....,합방/김만용/다유/금사향/배틀그라운드 배그 배그/PUBG,80797,10:17,2019-11-11,226,"1,900"
오버워치 고인물한테 탈출맵을 시켰을 때 ㅋㅋㅋㅋㅋㅋ,오버워치 탈출맵/오버워치 포탈/Overwatch/ 오버워치/ 탈출맵/워크샵/오버워치 워크샵/고인물/오버워치 고인물/오버워치,84342,13:15,2019-11-08,135,"1,500"
신작게임에서도 인성질을 할 수 있습니다 ㅋㅋㅋㅋ,콜 오브 듀티/ 콜옵/ 모던워페어/모던워페어/ 인성질/인성질/신작게임,108413,10:20,2019-11-06,202,"1,500"
양아지 머리 쪼개러 가고 있습니다. (레프트4데드2 내전),합방/레프트4데드2/레포데/ 레포데/ 레프트4데드/레프트4데드/양아지  양아지,59166,13:43,2019-11-04,105,"1,100"
외국인들 오늘 분해서 잠 못 잘걸? ㅋㅋㅋㅋ (에이펙스 레전드),에이펙스 레전드/에이펙스/ 에이펙스/apex legends/에이펙스 코시틱/에이펙스 레전드 코스틱,55851,10:27,2019-11-06,191,"1,100"
오버워치2가 나옵니다. 구매해야 할까요?,오버워치/Overwatch/ 오버워치/오버워치2/오버워치2 시네마틱/overwatch 2 reaction/overwatch 2 cinematic/오버워치2 영상,227336,3:12,2019-11-01,"1,059","4,400"
플래티넘 랭크에서 갑자기 시작된 칼전 ㅋㅋㅋ (레식),레식/레식 레인보우식스 시즈/ 레인보우식스 시즈/ 레식/레인보우식스 시즈 칼전/칼전/레식 칼전,48187,10:02,2019-11-01,145,"1,000"
오버워치 한국인은 못 깨는 메이 협동게임 ㅋㅋㅋ,오버워치/한국인은 못 꺠는/오버워치 한국인/오버워치 메이/메이 협동게임/메이 파쿠르/오버워치 워크샵/ 워크샵/Bighead/ 오버워치,124209,10:05,2019-10-31,107,"1,600"
2019년 FPS 최고의 대작게임 정식발매 (주관적임),모던워페어/FPS/ 콜오브듀티/콜오브듀티/콜옵 모던워페어/ 모던워페어/ 콜옵/인생게임,45763,13:26,2019-10-30,180,"1,100"
언제부터 오버워치에 스파이더맨이 나왔죠,오버워치/오버워치 스파이더맨/오버워치 스파이더맨 파쿠르/ 스파이더맨 파쿠르/ 워크샵/오버워치 워크샵/운밥/워크샵/Overwatch,190600,11:57,2019-10-27,326,"3,000"
레식하다가 오줌 지렸다.,레식/레식 할로윈/할로윈/레인보우식스 시즈/ 레식/ 레인보우식스 시즈/ 시즈/시즈/레인보우식스 시즈 닥터의 저주/레식 닥터의 저주/레인보우식스 할로윈,71989,7:44,2019-10-26,228,"1,300"
오버워치 한조에게 갈래화살이 다시 생겼습니다.,오버워치/갈래화살/한조/ 한조/오버워치 한조/ 오버워치,294114,10:14,2019-10-24,464,"3,300"
추억의 고인물 게임에 들어왔더니.. 이 사람들 다 뭐야? ㅋㅋ,사이퍼즈/ 사이퍼즈/사이퍼즈 bighead/고인물 게임,36786,10:07,2019-10-23,149,705
맥크리가 개사기 1시즌으로 돌아갔다? 콤보 1번에 1285딜,오버워치/오버워치 맥크리/맥크리 콤보/맥크리 섬난구난/맥크리 섬난/맥크리 1시즌/1시즌 맥크리/ 맥크리/맥크리,100576,10:26,2019-10-22,339,"1,500"
하늘에서 좀비가 쏟아지는 배틀로얄 ㅋㅋ 대박,에이팩스 레전드/에이팩스 할로윈/에이펙스 섀도우 폴/섀두오 폴/쉐도우 폴/에이펙스/ 에이펙스/ 에이펙스 레전드,77103,11:08,2019-10-20,112,"1,234"
운영자님이 선물로 주신 마스크…. 안 맞는데요? (콜옵 M),콜오브 듀티 모바일/콜옵 모바일/ 콜옵/ 콜오브듀티/콜오브듀티 모던워페어/콜오브듀티/콜오브듀티14,46543,8:58,2019-10-19,172,"1,055"
여러분 제가 김재원을 외모로 이겼습니다. (오버워치),오버워치/Overwatch/ 오버워치/오버워치 김재원/김재원/ 김재원/김재원 ,97469,10:38,2019-10-18,413,"2,274"
마인크래프트로 친구를 진짜 빡치게 만드는 법 ㅋㅋㅋㅋㅋ,마크/마인크래프트/쫀득/악녀/마뫄/이춘향/고차비/삐부/꽃핀/미로씨/마인크래프트 컨텐츠/마인크래프트 쫀득/마인크래프트 합방/마크합방,58706,11:34,2019-10-17,142,"1,259"
배그하는데 술취한 여자가 자꾸 노래불러요.,배그/배틀그라운드/혜요/술배그/PUBG/딩셉션/유키드/ 배그/유키드 배그/딩셉션 배그,55853,10:08,2019-10-16,176,"1,473"
오버워치 신영웅 나온 줄 ㅋㅋㅋ 할로윈 스킬 & 패치,오버워치/Overwatch/오버워치 할로윈/ 할로윈/ 오버워치/오버워치 Overwatch halloween/할로윈 스킨/오버워치 스킨/오버워치 업데이트/오버워치 할로윈 스킨,195824,5:45,2019-10-15,634,"2,979"
게임을 너무 잘해서 올리는 영상 (에이펙스 레전드),에이펙스 레전드/apex legend/ 에이펙스 레전드/ apex/apex/게임,68642,10:05,2019-10-14,140,"1,066"
한조로 인성질 할 생각에 완전 신났죠? ㅋㅋㅋㅋㅋ,오버워치/한조/hanzo/한조 오버워치/한조 인성질/오버워치 인성질/오버워치 한조/ 한조,122620,11:01,2019-10-12,344,"2,103"
겐지를 개사기였던 시절로 돌려봤습니다.,오버워치/Overwatch/오버워치 겐지/겐지/ 겐지/겐지 장인/genji/겐지 겐지 1시즌/옛날겐지,440581,10:32,2019-10-10,755,"4,327"
이거 당하면 입에서 쌍욕 바로나옴 ㅋㅋㅋㅋㅋ (레식),레식/레인보우식스 시즈/ 레식/레인보우삭스/고요/마에스트로/레인보우식스 시즈 고요/레인보우식스 시즈 마에스트로/레식 고요/레식 마에스트로,116815,10:59,2019-10-09,166,"1,662"
